RACEETH,FOODSEC,contrast,exp.estimate,exp.lower.CL,exp.upper.CL,%Difference,%Lower,%Higher,p.value,model
NH Black,2,Marginally Food Secure - Fully Food Secure,0.95,0.72,1.24,-5.33,-27.71,23.98,0.95,BUP
NH Black,3,Low Food Security - Fully Food Secure,0.97,0.70,1.34,-3.31,-30.20,33.93,0.99,BUP
NH Black,4,Very Low Food Secure - Fully Food Secure,0.79,0.60,1.06,-20.74,-40.46,5.51,0.15,BUP
Mexican-American,1,,,,,,,,,
Mexican-American,2,Marginally Food Secure - Fully Food Secure,0.98,0.68,1.42,-1.61,-31.75,41.85,1.00,BUP
Mexican-American,3,Low Food Security - Fully Food Secure,1.26,0.90,1.76,25.63,-10.42,76.19,0.29,BUP
Mexican-American,4,Very Low Food Secure - Fully Food Secure,0.99,0.70,1.40,-1.23,-30.43,40.24,1.00,BUP
Other Hispanic,1,,,,,,,,,
Other Hispanic,2,Marginally Food Secure - Fully Food Secure,1.11,0.59,2.09,11.36,-40.68,109.06,0.97,BUP
Other Hispanic,3,Low Food Security - Fully Food Secure,0.75,0.50,1.13,-24.56,-49.68,13.09,0.26,BUP
Other Hispanic,4,Very Low Food Secure - Fully Food Secure,0.68,0.44,1.05,-31.89,-55.71,4.73,0.10,BUP
Other,1,,,,,,,,,
Other,2,Marginally Food Secure - Fully Food Secure,1.07,0.64,1.80,7.27,-36.14,80.19,0.98,BUP
Other,3,Low Food Security - Fully Food Secure,0.85,0.57,1.27,-14.83,-42.98,27.20,0.72,BUP
Other,4,Very Low Food Secure - Fully Food Secure,1.06,0.50,2.23,5.63,-49.97,123.05,1.00,BUP
NH White,1,,,,,,,,,
NH White,2,Marginally Food Secure - Fully Food Secure,0.91,0.70,1.18,-8.68,-29.52,18.34,0.79,EPB
NH White,3,Low Food Security - Fully Food Secure,0.83,0.61,1.14,-16.56,-38.83,13.81,0.42,EPB
