"SEX","contrast","estimate","lower.CL","upper.CL","percent","percent_low","percent_high","SE","p.value","t.ratio","model"
"Male","FOODSEC2 - FOODSEC1",0.0380005695489165,-0.208816453090545,0.284817592188378,3.87318244869144,-18.8455821600167,32.9519491260928,0.0946246737889973,0.977980816385801,0.401592608220279,"MEP"
"Male","FOODSEC3 - FOODSEC1",0.00247991890186603,-0.19243645564073,0.197396293444462,0.248299644423855,-17.5053262750031,21.822672032134,0.074727010965403,0.999986789553287,0.0331863789254755,"MEP"
"Male","FOODSEC3 - FOODSEC2",-0.0355206506470504,-0.289203317377055,0.218162016082954,-3.4897195973158,-25.1140066314047,24.3788565047041,0.0972568234092767,0.983261031119633,-0.36522528087898,"MEP"
"Male","FOODSEC4 - FOODSEC1",0.0478233538986285,-0.18360138250373,0.279248090300987,4.89853397866495,-16.7732505901769,32.2135312132517,0.0887235813583494,0.949292888200337,0.539015143059574,"MEP"
"Male","FOODSEC4 - FOODSEC2",0.00982278434971205,-0.308312707478054,0.327958276177478,0.987118624655592,-26.5314459578152,38.8131052947422,0.121966738002825,0.999811584277495,0.0805365832566952,"MEP"
"Male","FOODSEC4 - FOODSEC3",0.0453434349967625,-0.230013864516766,0.320700734510291,4.6387164178697,-20.5477413244755,37.8093103469229,0.105566440933645,0.973295310460711,0.429525089561971,"MEP"
"Female","FOODSEC2 - FOODSEC1",0.107988060926786,-0.115945673647678,0.33192179550125,11.403444476827,-10.9476399117735,39.3643855031563,0.0858516821808249,0.591586209396224,1.25784443803135,"MEP"
"Female","FOODSEC3 - FOODSEC1",-0.0974018160651071,-0.2736153809325,0.0788117488022859,-9.28085911945388,-23.9375430279473,8.20006149851666,0.067556730546621,0.476232715583312,-1.4417781215432,"MEP"
"Female","FOODSEC3 - FOODSEC2",-0.205389876991893,-0.457403202261251,0.0466234482774647,-18.5670233926954,-36.7074908220333,4.77274112296222,0.09661683152595,0.151316998185046,-2.12581880142414,"MEP"
"Female","FOODSEC4 - FOODSEC1",-0.0335867094342767,-0.27569358192453,0.208520163055977,-3.30289379175558,-24.0954519613989,23.1853767747014,0.0928188971184917,0.9837053636338,-0.36185206328621,"MEP"
"Female","FOODSEC4 - FOODSEC2",-0.141574770361063,-0.435338993832669,0.152189453110543,-13.2009726787592,-35.2954714465613,16.4380811103694,0.112623284729773,0.592080026092475,-1.25706483078305,"MEP"
"Female","FOODSEC4 - FOODSEC3",0.0638151066308304,-0.235957477615847,0.363587690877508,6.58953035674108,-21.0185741995952,43.848099303525,0.114926769198825,0.944934609075078,0.55526755929621,"MEP"
"Male","FOODSEC2 - FOODSEC1",-0.0503513552849084,-0.182063167697838,0.0813604571280216,-4.91047362767294,-16.6451314598788,8.47618362401101,0.0504956552447224,0.75133797575986,-0.997142329194171,"MNBP"
"Male","FOODSEC3 - FOODSEC1",0.021365816463387,-0.106565675446967,0.149297308373741,2.15956998159523,-10.1083990488153,16.1018118310296,0.0490463565271999,0.972196950680099,0.435624947013915,"MNBP"
"Male","FOODSEC3 - FOODSEC2",0.0717171717482954,-0.0916930093892055,0.235127352885796,7.43514441494335,-8.76147997536734,26.5069868772919,0.0626481711779015,0.662704867089505,1.14476081902919,"MNBP"
"Male","FOODSEC4 - FOODSEC1",0.1896887708891,0.0529923448916605,0.326385196886539,20.8873302540151,5.44215733770812,38.5949129354276,0.0524066556666317,0.00248469259180772,3.61955496828007,"MNBP"
"Male","FOODSEC4 - FOODSEC2",0.240040126174008,0.0536042985138464,0.42647595383417,27.1300161709457,5.50670279522101,53.1849691388233,0.0714757401506066,0.00584382971364039,3.35834404328265,"MNBP"
"Male","FOODSEC4 - FOODSEC3",0.168322954425713,0.00879511891779641,0.327850789933629,18.3318706958083,0.883390961571973,38.7981855973026,0.0611597580822124,0.0344168384778021,2.75218476501246,"MNBP"
