"","Term","Estimate","Std..Error","t.value","Pr...t..","X2.5..","X97.5.."
"(Intercept)...1","(Intercept)",9.25722185928486e-06,0.207140443618752,-55.9528905463179,4.38355214092798e-61,6.12560214454579e-06,1.39898339020148e-05
"FOODSECMarginally Food Secure...2","FOODSECMarginally Food Secure",1.00340128763309,0.0427522262713168,0.0794231466594738,0.936916394172858,0.921429058974289,1.09266593474326
"FOODSECLow Food Security...3","FOODSECLow Food Security",1.0586817035079,0.0420007674796462,1.35770038509277,0.178798853253661,0.973650819106138,1.15113850607279
"FOODSECVery Low Food Secure...4","FOODSECVery Low Food Secure",1.0483521042449,0.0552232168460438,0.85506621129423,0.395350892594977,0.939069334339641,1.17035249079618
"log_URXUCR_final...5","log_URXUCR_final",2.41021215235727,0.0135463858528467,64.9409210108278,1.18390189677877e-65,2.34599717720777,2.47618482912444
"SEXFemale...6","SEXFemale",1.18089414057629,0.0221007163197029,7.52337143188846,1.18565318321344e-10,1.12999694027966,1.23408384707865
"RIDAGEYR...7","RIDAGEYR",0.999589656633523,0.000717713602176681,-0.571854259288976,0.569201812649128,0.998160530404178,1.00102082902851
"EDUCATHigh school graduate/GED or equivalent equivalent...8","EDUCATHigh school graduate/GED or equivalent equivalent",1.04118809214086,0.0426124905266609,0.947197802935722,0.346706240445441,0.956395269133975,1.13349854208037
"EDUCATSome college or AA degree...9","EDUCATSome college or AA degree",1.06117852442668,0.0378201974604756,1.5700633523606,0.120784973997912,0.98411444803983,1.14427733781104
"EDUCATCollege or above...10","EDUCATCollege or above",0.972135429091352,0.0386722938097505,-0.730759701645778,0.467297321500989,0.900007697753146,1.05004356613163
"RACEETHNH Black...11","RACEETHNH Black",0.956545141617357,0.0277467810420204,-1.60116939570461,0.113718242019742,0.905073164559172,1.01094435652329
"RACEETHMexican-American...12","RACEETHMexican-American",0.936568779263777,0.0356528815893476,-1.83806508720636,0.0701779283088615,0.872314689778166,1.00555578000722
"RACEETHOther Hispanic...13","RACEETHOther Hispanic",0.975538039339036,0.0452293342872564,-0.547567753541005,0.585682206689276,0.891429294964115,1.06758266928592
"RACEETHOther...14","RACEETHOther",0.895244516648797,0.0527468620252434,-2.09791427986571,0.0394229090332554,0.805890547563867,0.994505701813337
"PIRCAT1-1.99...15","PIRCAT1-1.99",0.976823674526677,0.030606370404074,-0.766151600103,0.446090703417552,0.919006757119146,1.03827799276137
"PIRCAT2-2.99...16","PIRCAT2-2.99",0.961091798925223,0.0414291708572912,-0.957908386214794,0.34131452810511,0.884906850753912,1.04383579489114
"PIRCAT3-3.99...17","PIRCAT3-3.99",0.894553107538503,0.040976913163568,-2.71936068368175,0.00819204591402479,0.824385523584246,0.970693006261912
"PIRCAT4+...18","PIRCAT4+",0.888667768666301,0.0349604858266349,-3.37614950312946,0.00118794595810647,0.828843203035412,0.952810374958944
"cycleyr2007-2008...19","cycleyr2007-2008",1.1336539185207,0.0401798166603785,3.1221141026437,0.00258523345766048,1.04639295763512,1.22819175874604
"cycleyr2009-2010...20","cycleyr2009-2010",1.0663703836845,0.0429314064368446,1.49682301585889,0.13881038036858,0.978904218456484,1.16165174667696
"cycleyr2011-2012...21","cycleyr2011-2012",0.937925492273622,0.0385648460046596,-1.66174047906776,0.100913187326655,0.868521983890757,1.01287502835088
"cycleyr2013-2014...22","cycleyr2013-2014",0.715091123919495,0.0445866958570356,-7.52119644484754,1.19674774949536e-10,0.654275179593856,0.781560009392184
"cycleyr2015-2016...23","cycleyr2015-2016",0.613213244745424,0.0376292379190181,-12.9963443288717,1.45855426285387e-20,0.56889747384164,0.66098110963995
"(Intercept)...24","(Intercept)",6.20553313316017e-05,0.600564516293104,-16.130630210839,1.30893056556311e-25,1.87430486541128e-05,0.000205455591442957
"FOODSECMarginally Food Secure...25","FOODSECMarginally Food Secure",0.793290860034771,0.0823656253305348,-2.81143182316585,0.00635001811734873,0.673169439591157,0.934846936897362
"FOODSECLow Food Security...26","FOODSECLow Food Security",0.816384540056129,0.0726031494178338,-2.79422844021769,0.00666227794360972,0.706380299873865,0.943519683889356
"FOODSECVery Low Food Secure...27","FOODSECVery Low Food Secure",0.7879800560427,0.109592306602379,-2.17426301555605,0.0329730019104358,0.633338167624638,0.980380783065414
"log_URXUCR_final...28","log_URXUCR_final",2.34837176209688,0.0401675824922774,21.2540105191539,9.52713964840609e-33,2.1676629563652,2.54414548941753
"SEXFemale...29","SEXFemale",2.80707766842791,0.0598022538566337,17.259282050167,2.69791340123673e-27,2.49161315040552,3.16248332342611
"RIDAGEYR...30","RIDAGEYR",0.98981642393819,0.00155616060600334,-6.57758805473806,6.57916257219795e-09,0.986750623186044,0.992891750029395
"EDUCATHigh school graduate/GED or equivalent equivalent...31","EDUCATHigh school graduate/GED or equivalent equivalent",1.16585191782462,0.0773947108010794,1.98272050020435,0.0512145477697853,0.999168889042597,1.36034128884631
"EDUCATSome college or AA degree...32","EDUCATSome college or AA degree",1.52933477313214,0.0829224097190451,5.12325743418656,2.42034877399534e-06,1.29632073681145,1.8042331514838
"EDUCATCollege or above...33","EDUCATCollege or above",2.43244959628813,0.0974964242847745,9.11724527780192,1.26416884755785e-13,2.002794077224,2.95427827841561
"RACEETHNH Black...34","RACEETHNH Black",0.454013196040265,0.0711683853930621,-11.095221717257,3.03938587473018e-17,0.393962087641409,0.523217813705763
"RACEETHMexican-American...35","RACEETHMexican-American",1.11234426176008,0.0718161989088685,1.4825309254363,0.142563030504144,0.963971797802353,1.28355389596602
"RACEETHOther Hispanic...36","RACEETHOther Hispanic",1.19136523014109,0.103200584545344,1.69669486392279,0.0940738906755227,0.969837542376543,1.46349367762262
"RACEETHOther...37","RACEETHOther",0.658223607616638,0.10361204020273,-4.03631253050118,0.000133852084743967,0.535391296877734,0.809236758517582
"PIRCAT1-1.99...38","PIRCAT1-1.99",1.20974599591585,0.0751923684953814,2.53231040133024,0.0135126651062914,1.04134918925942,1.40537428725059
"PIRCAT2-2.99...39","PIRCAT2-2.99",1.31379474052946,0.0939733542116739,2.90422429322838,0.00488566418629665,1.08935659305974,1.5844734692382
"PIRCAT3-3.99...40","PIRCAT3-3.99",1.68807976268543,0.100937079774693,5.18730727104306,1.88597726811249e-06,1.38040544504729,2.06433066126488
"PIRCAT4+...41","PIRCAT4+",2.25351349276543,0.0978486779008087,8.30354142776536,4.15778005363835e-12,1.85416187798315,2.73887793853241
"cycleyr2007-2008...42","cycleyr2007-2008",1.02214337270216,0.136621936528783,0.160309309764523,0.873086341114914,0.778451114206523,1.34212290957266
"cycleyr2009-2010...43","cycleyr2009-2010",1.28676633286501,0.125581479390954,2.00771924178157,0.0484264632985576,1.0017918522233,1.6528060112689
"cycleyr2011-2012...44","cycleyr2011-2012",1.44287840154324,0.150080175882664,2.44296094584037,0.0170213511536914,1.06978815803308,1.94608443363945
"cycleyr2013-2014...45","cycleyr2013-2014",1.48169527775803,0.105370468504647,3.73147140526279,0.00037707535344908,1.2009761689379,1.82803035806448
"cycleyr2015-2016...46","cycleyr2015-2016",1.11538749501976,0.113102715727106,0.965510624581211,0.337520988042055,0.890239929046203,1.39747636952137
"(Intercept)...47","(Intercept)",0.00101139749317479,0.514407031709843,-13.4065473890742,2.96871569443354e-21,0.00036272197580137,0.00282013486208075
"FOODSECMarginally Food Secure...48","FOODSECMarginally Food Secure",0.837295910216806,0.0914598781643087,-1.94159163381261,0.0561000254403898,0.697746328002937,1.00475547219625
"FOODSECLow Food Security...49","FOODSECLow Food Security",0.850886328272137,0.0740109978118776,-2.18179376583139,0.0323897877817254,0.734169785810277,0.986158185250539
"FOODSECVery Low Food Secure...50","FOODSECVery Low Food Secure",0.728767227948098,0.0896595539848505,-3.52891451190213,0.000731337528156568,0.609489257414009,0.871388077920448
"log_URXUCR_final...51","log_URXUCR_final",1.97678012457376,0.0350140543602518,19.4627367138558,2.13333356123711e-30,1.8435076337979,2.11968726858998
"SEXFemale...52","SEXFemale",1.22690398042868,0.0485436481940374,4.21257805531841,7.20991260730703e-05,1.11374021378543,1.35156597432671
"RIDAGEYR...53","RIDAGEYR",0.997607091393032,0.00142711358491694,-1.67875648692291,0.0975348469951788,0.994773033255098,1.00044922361949
"EDUCATHigh school graduate/GED or equivalent equivalent...54","EDUCATHigh school graduate/GED or equivalent equivalent",1.0913074543132,0.0643181464748269,1.35850427251593,0.178544952879009,0.959983286193968,1.24059655721853
"EDUCATSome college or AA degree...55","EDUCATSome college or AA degree",1.25260457984177,0.0684934098514276,3.28827324934495,0.00156112386732343,1.09273740669084,1.43586027515253
"EDUCATCollege or above...56","EDUCATCollege or above",1.31703191047606,0.0783105955272815,3.51651842619667,0.00076106018305417,1.12667558116359,1.53954970020813
"RACEETHNH Black...57","RACEETHNH Black",0.802448833148436,0.0549107569322344,-4.00808871745983,0.000147597874731804,0.719247481090918,0.895274779196467
"RACEETHMexican-American...58","RACEETHMexican-American",1.48002617991914,0.0804360153551994,4.8741819820738,6.30790601701438e-06,1.26075848326402,1.73742831979605
"RACEETHOther Hispanic...59","RACEETHOther Hispanic",1.44252602153408,0.0921964427241053,3.97407695571914,0.000165969166126371,1.20034079088848,1.73357544673848
"RACEETHOther...60","RACEETHOther",1.126708073285,0.0966616649739505,1.23420356580904,0.221140345388771,0.929237115084873,1.36614332531223
"PIRCAT1-1.99...61","PIRCAT1-1.99",1.14001078378104,0.0662042056834583,1.97929603513786,0.0516069603676943,0.999062489566724,1.30084414209235
"PIRCAT2-2.99...62","PIRCAT2-2.99",1.20377892924142,0.0776401322034157,2.38878671606087,0.0195269512301503,1.03116882620169,1.40528269829812
"PIRCAT3-3.99...63","PIRCAT3-3.99",1.53770418438094,0.0972206302463421,4.42591776704308,3.34889152927438e-05,1.2667882121313,1.86655838443938
"PIRCAT4+...64","PIRCAT4+",1.5717180906904,0.0906594183269293,4.9875606379109,4.08881218340079e-06,1.31185622366242,1.88305525563382
"cycleyr2007-2008...65","cycleyr2007-2008",0.803997667950263,0.0965464836669059,-2.25962564436235,0.0268714572474085,0.663238378581091,0.9746303455062
"cycleyr2009-2010...66","cycleyr2009-2010",0.844082840423073,0.108523479768237,-1.56191671520987,0.122692593528359,0.679877774678142,1.04794695169139
"cycleyr2011-2012...67","cycleyr2011-2012",0.682684937137673,0.0951276908445181,-4.01273083657234,0.000145247389608716,0.564759442298574,0.82523405274608
"cycleyr2013-2014...68","cycleyr2013-2014",0.557581468451731,0.0829597269944159,-7.04132807249237,9.27441375617184e-10,0.472591524653642,0.657855839011592
"cycleyr2015-2016...69","cycleyr2015-2016",0.320672852203258,0.112353402065574,-10.1228250025899,1.75862833545964e-15,0.256325734952066,0.40117344502846
"(Intercept)...70","(Intercept)",0.00257981062630675,0.368583087253746,-16.1701377233724,1.1395933752018e-25,0.00123733396882706,0.00537884114982656
"FOODSECMarginally Food Secure...71","FOODSECMarginally Food Secure",0.854689508519224,0.0447666058496778,-3.50745876195163,0.000783503272400166,0.781720810742189,0.934469373124759
"FOODSECLow Food Security...72","FOODSECLow Food Security",0.869103543015664,0.0609881483682005,-2.30033232114259,0.0243295160899617,0.769610558185927,0.981458687706699
"FOODSECVery Low Food Secure...73","FOODSECVery Low Food Secure",0.742798973949681,0.0673746498431951,-4.41308164902337,3.50889476443981e-05,0.649443952036372,0.849573414257923
"log_URXUCR_final...74","log_URXUCR_final",1.38204533730775,0.0249811438220017,12.9523504884373,1.73225329842524e-20,1.31490646039726,1.45261231266368
"SEXFemale...75","SEXFemale",3.50479462454512,0.0341021702163442,36.7757217742838,2.06702890789062e-48,3.27445187905205,3.75134093092747
"RIDAGEYR...76","RIDAGEYR",0.997632408253154,0.00102695860231513,-2.30817378475647,0.0238650506958657,0.99559213977562,0.999676857855964
"EDUCATHigh school graduate/GED or equivalent equivalent...77","EDUCATHigh school graduate/GED or equivalent equivalent",1.03194996083449,0.047751349835017,0.658623859409132,0.512238065196323,0.938248539270027,1.13500919755744
"EDUCATSome college or AA degree...78","EDUCATSome college or AA degree",1.09627440655641,0.0482498371788906,1.90503291841357,0.060769885804379,0.995742325327057,1.2069564021755
"EDUCATCollege or above...79","EDUCATCollege or above",1.14281688762312,0.0536013499326532,2.49053743687656,0.0150626943782997,1.02700195080205,1.27169226661802
"RACEETHNH Black...80","RACEETHNH Black",0.94117069767131,0.0462922184655675,-1.30973968345408,0.194447694196692,0.858204720056487,1.03215731800776
"RACEETHMexican-American...81","RACEETHMexican-American",1.31487759855765,0.042683896945865,6.41327526162523,1.30884826545369e-08,1.20762399290446,1.43165679826429
"RACEETHOther Hispanic...82","RACEETHOther Hispanic",1.24093181239439,0.0644092204335037,3.35142325223884,0.00128342490836215,1.091404200761,1.41094542419637
"RACEETHOther...83","RACEETHOther",1.1453709873121,0.0745248152237552,1.82125363888612,0.0727226468676193,0.987248090431496,1.3288196870585
"PIRCAT1-1.99...84","PIRCAT1-1.99",1.10659801394774,0.0571995952512473,1.77082471128846,0.080822316625093,0.987345892695988,1.24025346490212
"PIRCAT2-2.99...85","PIRCAT2-2.99",1.1675819492683,0.0732447354386756,2.11530425036555,0.0378646646493681,1.0089641279352,1.3511358536076
"PIRCAT3-3.99...86","PIRCAT3-3.99",1.17196056843437,0.0650429711425921,2.43958790812899,0.017168516308697,1.02944235494915,1.33420930988685
"PIRCAT4+...87","PIRCAT4+",1.34870634108924,0.0572195168719914,5.22803902433309,1.60828222826572e-06,1.20331571822331,1.51166378610933
"cycleyr2007-2008...88","cycleyr2007-2008",1.05075504239199,0.0856773119027874,0.577854190828099,0.565165452488221,0.885780939088745,1.24645508882595
"cycleyr2009-2010...89","cycleyr2009-2010",0.816703042100659,0.0856476604791857,-2.36410104634291,0.020774074521014,0.688517038053979,0.968754325763218
"cycleyr2011-2012...90","cycleyr2011-2012",0.628080872480386,0.076476409631235,-6.08143537612061,5.18320678304055e-08,0.539269798621879,0.731518033058486
"cycleyr2013-2014...91","cycleyr2013-2014",0.320641462738359,0.0874214855034518,-13.0108944277512,1.37798253347981e-20,0.269360872520981,0.381684788383607
"cycleyr2015-2016...92","cycleyr2015-2016",0.265957314541168,0.0840936443020189,-15.7493406989301,5.03443754798278e-25,0.224909524533571,0.314496655064476
"(Intercept)...93","(Intercept)",0.00204888738085555,0.451359108961987,-13.7151510876819,9.08898724123615e-22,0.000833208777946253,0.00503828045328145
"FOODSECMarginally Food Secure...94","FOODSECMarginally Food Secure",0.889457560055506,0.067401221209659,-1.73800241371862,0.0864856245784931,0.777629286410685,1.01736748469383
"FOODSECLow Food Security...95","FOODSECLow Food Security",0.949427399032248,0.0669711092014037,-0.774904501159759,0.440933600847187,0.830771343544017,1.08503066823149
"FOODSECVery Low Food Secure...96","FOODSECVery Low Food Secure",0.743621814579911,0.0676592924331339,-4.37815230500226,3.98271558958618e-05,0.649794563935396,0.850997274846544
"log_URXUCR_final...97","log_URXUCR_final",1.56516792077533,0.0320801469910732,13.964808701806,3.51959541998859e-22,1.46820785624433,1.66853120272126
"SEXFemale...98","SEXFemale",2.94444563923092,0.0417082873661945,25.8922298091701,3.26688186090449e-38,2.70953385301881,3.1997238612563
"RIDAGEYR...99","RIDAGEYR",0.999555097873305,0.001226490763033,-0.362824685210088,0.717798811411171,0.997114206155248,1.00200196478692
"EDUCATHigh school graduate/GED or equivalent equivalent...100","EDUCATHigh school graduate/GED or equivalent equivalent",1.06746285441229,0.0576914627118432,1.13161749837795,0.261550250764164,0.951494702000124,1.19756520257522
"EDUCATSome college or AA degree...101","EDUCATSome college or AA degree",1.15361448847572,0.0556628696082358,2.56724182266784,0.0123286022026561,1.03245364013371,1.28899384562076
"EDUCATCollege or above...102","EDUCATCollege or above",1.36863266531111,0.0667265939904358,4.70295527117007,1.20398747396657e-05,1.19816971254619,1.5633472895722
"RACEETHNH Black...103","RACEETHNH Black",1.19591460035729,0.0553694433257424,3.23122715073985,0.00185965439496646,1.07093733671683,1.33547657954698
"RACEETHMexican-American...104","RACEETHMexican-American",1.13852237426999,0.0514079243661257,2.52356539072974,0.0138247163360838,1.02762615092817,1.26138595786277
"RACEETHOther Hispanic...105","RACEETHOther Hispanic",1.13517112434945,0.0733866018173612,1.7276097650103,0.0883456081447158,0.980678983334268,1.31400132301761
"RACEETHOther...106","RACEETHOther",1.01862988620931,0.0757085254819514,0.243809734727842,0.808071554167811,0.875934719694223,1.18457097515327
"PIRCAT1-1.99...107","PIRCAT1-1.99",1.01189110847242,0.0620611839756225,0.190472755996514,0.849474723851815,0.894137471473493,1.14515233738964
"PIRCAT2-2.99...108","PIRCAT2-2.99",1.09344475078057,0.0798551583296647,1.11868834282193,0.266991585240344,0.932528733995599,1.2821282384369
"PIRCAT3-3.99...109","PIRCAT3-3.99",1.07753577670105,0.0803656537948967,0.929212198907442,0.355884022217793,0.918026283992245,1.26476046526848
"PIRCAT4+...110","PIRCAT4+",1.31087017504861,0.0702620302085194,3.85259537266155,0.000251218253840051,1.13954194053784,1.50795732452018
"cycleyr2007-2008...111","cycleyr2007-2008",1.10648089686754,0.0974933282779326,1.03786195097091,0.302807334501776,0.911043364359392,1.34384379825177
"cycleyr2009-2010...112","cycleyr2009-2010",1.25356575307189,0.0728134047823407,3.10371549713817,0.00273100924565363,1.08419873731978,1.44939026691672
"cycleyr2011-2012...113","cycleyr2011-2012",1.18560498202699,0.0683673388753412,2.49027065359126,0.0150730876486129,1.03454878844386,1.35871714230276
"cycleyr2013-2014...114","cycleyr2013-2014",1.17324880614228,0.0735232203590614,2.17314553615757,0.033060321790403,1.01329844515886,1.35844752125172
"cycleyr2015-2016...115","cycleyr2015-2016",1.06148254561017,0.0740878105339841,0.805349199268102,0.423269874390768,0.915738173329075,1.23042287353695
"(Intercept)...116","(Intercept)",0.00037517574017913,0.456371826635843,-17.2844061375158,4.74919033103948e-28,0.00015117699304191,0.000931073129493564
"FOODSECMarginally Food Secure...117","FOODSECMarginally Food Secure",0.830703456280657,0.0637286623090861,-2.91050200554374,0.00473199990502478,0.731682186585688,0.943125642427836
"FOODSECLow Food Security...118","FOODSECLow Food Security",0.845603803220357,0.0791457891401499,-2.1189294920083,0.0373633198878723,0.722284013329616,0.9899787048096
"FOODSECVery Low Food Secure...119","FOODSECVery Low Food Secure",0.769681766314406,0.0973409219087054,-2.68929176886936,0.00879692192647671,0.634036098780418,0.934347464657576
