SEQN,RIAGENDR,RIDAGEYR,RIDRETH1,DMDEDUC2,INDFMPIR
23300,2,23,1,1,0.96
23301,1,7,3,NA,3.98
23302,2,6,1,NA,5
23303,1,74,1,1,0.66
23304,1,12,3,NA,0.67
23305,1,33,3,2,2.29
23306,1,21,3,3,2.34
23307,2,29,3,4,5
23308,1,68,1,3,4
23309,1,25,3,4,5
23310,1,31,1,2,0.64
23311,2,35,4,5,3.15
23312,1,66,1,4,5
23313,1,6,3,NA,3.71
23314,1,49,3,5,3.09
23315,2,28,1,1,2.79
23316,2,27,3,4,5
23317,2,14,4,NA,NA
23318,2,28,3,5,5
23319,2,64,3,5,5
23320,2,18,1,NA,0.77
23321,1,16,1,NA,1.57
23322,2,0,1,NA,1.72
23323,2,21,3,3,1.36
23324,1,68,3,3,2.56
23325,1,3,4,NA,3.25
23326,1,73,4,4,1.34
23327,2,83,3,2,NA
23328,2,5,4,NA,1.62
23329,1,9,3,NA,2.65
23330,1,17,1,NA,1.01
23331,2,56,4,5,5
23332,1,51,4,4,0.77
23333,1,14,4,NA,0.64
23334,2,0,1,NA,1.4
23335,2,0,2,NA,0.56
23336,1,31,4,4,1.34
23337,2,12,4,NA,0.65
23338,1,42,3,4,1
23339,2,7,3,NA,NA
23340,1,61,3,4,2.89
23341,1,16,4,NA,0.87
23342,2,52,1,4,NA
23343,2,23,3,2,2.23
23344,2,5,1,NA,2.5
23345,1,17,1,NA,1.62
23346,2,11,3,NA,2.69
23347,2,1,1,NA,1.44
23348,2,14,1,NA,0.44
23349,1,17,1,NA,1.98
23350,1,76,3,5,NA
23351,1,51,3,3,NA
23352,2,16,1,NA,0.65
23353,2,60,3,3,0.51
23354,1,13,1,NA,0.35
23355,2,22,4,4,1.72
23356,1,7,4,NA,0.19
23357,2,16,1,NA,1.47
23358,1,3,3,NA,2.89
23359,2,25,5,4,3.01
23360,2,6,4,NA,3.45
23361,1,12,5,NA,1.76
23362,1,1,1,NA,1.33
23363,2,3,3,NA,NA
23364,1,26,3,3,5
23365,2,10,1,NA,1.02
23366,1,13,3,NA,3.4
23367,1,69,3,3,1.28
23368,1,57,4,5,4.13
23369,1,46,3,3,0.96
23370,2,19,3,NA,0.22
23371,1,2,2,NA,4.95
23372,2,84,3,5,2
23373,2,37,2,5,5
23374,1,8,3,NA,1.23
23375,1,75,3,3,2.89
23376,1,5,1,NA,0.07
23377,1,0,3,NA,0.08
23378,2,75,3,5,5
23379,2,14,3,NA,2.09
23380,1,18,4,NA,2.32
23381,2,49,3,3,1.36
23382,2,18,4,NA,0
23383,2,30,1,4,2.69
23384,2,39,1,2,1.52
23385,1,2,4,NA,1.16
23386,1,53,2,1,1.68
23387,2,13,1,NA,2.23
23388,1,46,3,4,5
23389,2,61,4,2,1.38
23390,1,80,3,3,3.87
23391,1,7,5,NA,0.89
23392,2,12,4,NA,0.41
23393,1,69,1,4,2.08
23394,2,11,4,NA,1.12
23395,1,82,3,5,5
23396,2,17,1,NA,0
23397,1,21,3,4,4.08
23398,2,1,5,NA,2.71
23399,2,15,4,NA,0
23400,2,20,3,3,1.82
23401,1,1,3,NA,4.21
23402,2,16,4,NA,0.73
23403,1,12,4,NA,0.96
23404,1,14,3,NA,3.95
23405,1,73,3,3,1.92
23406,1,16,4,NA,5
23407,1,9,4,NA,0.79
23408,1,36,1,1,1.9
23409,2,6,4,NA,3.18
23410,2,14,1,NA,4.78
23411,1,12,3,NA,5
23412,1,71,1,1,1.18
23413,2,78,3,4,1.29
23414,2,15,3,NA,2.17
23415,1,46,3,3,3.83
23416,1,19,3,NA,0.43
23417,2,0,2,NA,1.06
23418,2,21,3,3,0.22
23419,2,10,4,NA,0.6
23420,2,29,1,1,1.59
23421,2,3,4,NA,1.86
23422,2,64,3,4,4.56
23423,1,51,3,5,5
23424,2,27,3,3,0
23425,1,15,1,NA,0.65
23426,2,62,1,1,1.61
23427,2,66,4,2,4.47
23428,1,1,3,NA,4.47
23429,2,9,4,NA,0.78
23430,1,34,3,4,2.55
23431,2,5,1,NA,1.83
23432,1,68,1,1,2.29
23433,2,10,4,NA,0.64
23434,1,21,4,2,1.44
23435,1,76,3,5,4.13
23436,2,8,3,NA,1.88
23437,2,42,3,3,4.47
23438,1,28,3,4,3.12
23439,2,69,2,1,0.53
23440,1,20,1,2,0.82
23441,2,5,4,NA,1.36
23442,2,27,4,4,3.6
23443,2,13,2,NA,1.13
23444,1,1,2,NA,1.91
23445,2,12,4,NA,5
23446,2,63,3,1,1.08
23447,2,60,1,4,2.02
23448,1,53,4,4,2.56
23449,2,37,3,5,5
23450,2,23,1,3,1.44
23451,2,47,3,5,NA
23452,1,16,1,NA,1.01
23453,2,5,3,NA,5
23454,1,45,3,3,5
23455,1,28,1,5,NA
23456,1,48,1,4,2.15
23457,2,72,1,1,NA
23458,1,2,1,NA,2.72
23459,1,13,4,NA,3.45
23460,2,12,1,NA,0.36
23461,1,0,5,NA,1.77
23462,1,0,3,NA,0
23463,2,24,3,3,1.28
23464,2,48,3,5,5
23465,1,26,3,5,1.61
23466,2,48,1,1,0.2
23467,2,48,1,1,0.78
23468,2,75,3,4,4.45
23469,1,18,4,NA,0.86
23470,1,69,3,5,3.14
23471,2,61,5,5,5
23472,2,81,3,3,1.24
23473,1,71,3,3,0.64
23474,1,5,3,NA,5
23475,2,14,3,NA,1.44
23476,2,80,1,1,0.76
23477,1,42,1,2,2.12
23478,2,51,5,4,0.75
23479,2,80,3,3,1.18
23480,2,36,1,4,5
23481,2,49,1,1,2.79
23482,2,13,5,NA,3.18
23483,1,39,1,4,1.33
23484,1,29,4,5,1.84
23485,2,21,5,4,0.48
23486,1,16,4,NA,NA
23487,1,72,3,5,5
23488,1,40,3,4,5
23489,1,15,1,NA,0.69
23490,2,77,4,1,NA
23491,1,84,1,1,0.1
23492,1,2,1,NA,0.52
23493,2,17,4,NA,2.58
23494,2,8,5,NA,0.48
23495,1,30,3,3,4.91
23496,2,18,3,NA,3.18
23497,2,0,3,NA,3.28
23498,2,68,1,3,1.12
23499,2,66,3,4,3.36
23500,2,66,1,1,NA
23501,2,4,3,NA,1.23
23502,1,42,1,4,0.67
23503,1,5,4,NA,0.96
23504,1,14,4,NA,2.18
23505,2,77,3,1,1.12
23506,2,15,1,NA,NA
23507,1,64,4,4,NA
23508,2,25,3,5,4.45
23509,2,21,4,2,0.31
23510,1,45,5,5,5
23511,2,52,2,4,2.99
23512,1,17,4,NA,2.85
23513,2,4,1,NA,0.54
23514,1,0,4,NA,0.43
23515,2,13,3,NA,NA
23516,2,1,1,NA,0
23517,2,57,3,5,2.23
23518,2,15,1,NA,1.39
23519,1,67,3,4,4.59
23520,1,24,3,3,3.54
23521,2,59,4,5,0.81
23522,2,6,3,NA,1.65
23523,2,1,2,NA,NA
23524,2,76,3,3,0.98
23525,1,4,1,NA,0.74
23526,2,2,4,NA,2.12
23527,1,12,5,NA,1.22
23528,1,11,4,NA,0.69
23529,2,62,4,4,0.48
23530,2,38,3,5,5
23531,1,70,3,1,4.13
23532,2,67,3,5,5
23533,2,1,4,NA,NA
23534,2,11,4,NA,1.18
23535,2,11,3,NA,2.55
23536,1,18,4,NA,5
23537,2,15,3,NA,0
23538,1,0,3,NA,5
23539,2,0,3,NA,2.74
23540,1,48,1,1,0.22
23541,1,16,3,NA,5
23542,1,20,3,2,1.05
23543,1,11,1,NA,0.79
23544,1,9,1,NA,0.83
23545,2,12,1,NA,1.72
23546,2,3,3,NA,1.75
23547,2,2,3,NA,5
23548,1,15,1,NA,NA
23549,1,61,4,3,2.78
23550,1,35,1,3,2.12
23551,2,17,3,NA,0.4
23552,1,7,4,NA,0.41
23553,1,44,3,2,0.89
23554,2,27,3,4,3.2
23555,2,8,4,NA,3.25
23556,1,26,3,3,1.91
23557,2,56,3,4,5
23558,2,22,3,3,0.48
23559,2,63,3,3,3.56
23560,2,14,3,NA,5
23561,1,49,1,1,0.36
23562,2,7,4,NA,1.11
23563,2,40,3,4,0.67
23564,1,16,1,NA,1.11
23565,1,19,4,NA,4.24
23566,1,13,4,NA,5
23567,1,37,3,5,5
23568,1,24,1,2,0.64
23569,2,41,3,4,1.6
23570,1,0,1,NA,NA
23571,1,0,2,NA,0.8
23572,2,2,4,NA,1.64
23573,1,39,3,5,4.62
23574,2,34,3,4,1.6
23575,1,3,1,NA,1.09
23576,1,15,4,NA,1.31
23577,2,28,5,4,3.79
23578,1,40,3,5,5
23579,1,73,3,3,4
23580,2,43,4,5,3.45
23581,1,12,4,NA,0.99
23582,1,30,5,2,NA
23583,2,34,1,1,2.06
23584,1,68,1,3,2.2
23585,2,79,4,3,5
23586,2,41,3,5,3.63
23587,2,29,1,2,0.99
23588,2,61,1,1,2.49
23589,2,0,3,NA,1.15
23590,2,10,1,NA,2.37
23591,2,45,3,4,4.08
23592,2,22,3,5,2.15
23593,2,60,3,3,NA
23594,2,51,3,1,0.63
23595,1,44,3,5,4.83
23596,1,33,3,5,2.4
23597,1,5,1,NA,0.98
23598,2,80,5,1,NA
23599,1,2,3,NA,0.9
23600,1,39,3,5,1.34
23601,1,31,3,3,1.4
23602,2,43,3,4,0.53
23603,1,0,2,NA,0.69
23604,2,14,1,NA,1.18
23605,1,85,3,1,1.24
23606,2,12,5,NA,2.65
23607,2,43,3,5,5
23608,2,66,3,5,3.22
23609,2,13,3,NA,0.88
23610,2,40,3,4,3.14
23611,1,5,4,NA,NA
23612,1,3,1,NA,0.42
23613,2,6,5,NA,0.48
23614,2,68,3,4,NA
23615,1,31,4,4,3.6
23616,1,5,1,NA,0.87
23617,1,48,3,1,0.06
23618,1,47,4,2,0.84
23619,2,52,3,4,5
23620,2,18,1,NA,2.23
23621,1,14,2,NA,1.6
23622,2,5,3,NA,0.68
23623,2,14,5,NA,1.12
23624,1,20,3,4,4.35
23625,2,18,1,NA,3.98
23626,2,19,1,NA,2.09
23627,2,17,4,NA,1.76
23628,1,39,5,2,0.78
23629,1,0,3,NA,5
23630,2,17,5,NA,5
23631,1,18,5,NA,1.21
23632,2,9,1,NA,1.49
23633,2,32,3,2,0.77
23634,2,2,3,NA,1.18
23635,2,9,4,NA,1.62
23636,1,85,3,3,5
23637,2,40,3,4,2.79
23638,1,60,1,1,0.65
23639,1,16,1,NA,2.55
23640,2,4,1,NA,2.32
23641,2,50,4,3,2.23
23642,1,52,4,1,2.76
23643,1,31,3,5,3.9
23644,2,60,1,4,1.65
23645,2,8,4,NA,0.66
23646,2,17,3,NA,3.26
23647,2,37,3,4,5
23648,2,19,4,NA,0.32
23649,1,48,4,2,1.86
23650,1,73,3,3,1.72
23651,2,11,1,NA,0.81
23652,2,17,4,NA,0.33
23653,2,75,3,3,1.72
23654,2,6,1,NA,0.28
23655,2,12,4,NA,0.64
23656,1,9,1,NA,2.25
23657,1,2,3,NA,3.71
23658,2,1,1,NA,0.91
23659,2,23,1,4,3.71
23660,2,29,2,4,2.12
23661,1,79,3,3,1.6
23662,2,20,5,3,4.3
23663,2,10,4,NA,0.83
23664,2,16,1,NA,1.18
23665,2,17,4,NA,0
23666,2,54,1,1,2.1
23667,1,47,3,5,5
23668,1,0,3,NA,2.95
23669,2,13,4,NA,1.38
23670,2,4,1,NA,2.08
23671,2,14,3,NA,5
23672,2,21,1,4,1.4
23673,2,12,1,NA,0.84
23674,2,33,4,4,5
23675,2,63,4,3,5
23676,1,17,4,NA,5
23677,2,18,3,NA,1.18
23678,2,9,1,NA,0.79
23679,2,8,3,NA,3.19
23680,2,22,1,2,0.68
23681,2,17,3,NA,4.59
23682,2,80,3,3,1.29
23683,1,58,3,1,1.07
23684,2,83,1,1,0.99
23685,1,11,1,NA,1.54
23686,2,5,1,NA,1.64
23687,1,13,2,NA,0.95
23688,1,14,4,NA,0.89
23689,1,19,1,NA,4.21
23690,2,38,4,2,3.45
23691,1,13,4,NA,2.76
23692,1,42,3,3,4.45
23693,1,6,1,NA,0
23694,1,59,1,2,0.6
23695,2,16,3,NA,2.86
23696,1,39,3,4,1.29
23697,1,71,2,3,3.2
23698,1,55,3,3,3.2
23699,1,2,1,NA,3.02
23700,2,0,3,NA,0.96
23701,1,18,4,NA,2.37
23702,1,83,5,1,NA
23703,1,65,4,3,2.14
23704,2,17,4,NA,0.45
23705,2,70,3,3,1.76
23706,2,24,3,3,0.93
23707,1,14,1,NA,0.95
23708,2,18,4,NA,0.32
23709,2,26,3,4,1.64
23710,2,60,3,3,5
23711,1,38,3,2,3.8
23712,2,14,2,NA,3.8
23713,1,44,4,4,NA
23714,2,13,4,NA,4.08
23715,1,69,4,4,2.69
23716,1,0,3,NA,0.53
23717,2,0,4,NA,2.56
23718,2,19,1,NA,1.03
23719,1,1,1,NA,1.98
23720,2,15,4,NA,1.91
23721,2,52,1,1,1.36
23722,2,63,4,1,0.89
23723,1,9,4,NA,0.54
23724,2,34,3,3,2.39
23725,1,12,3,NA,5
23726,2,7,4,NA,1.86
23727,2,18,3,NA,4.02
23728,1,16,1,NA,NA
23729,1,21,3,2,3.45
23730,1,69,3,5,3.52
23731,2,53,3,1,1.29
23732,1,34,2,2,1.85
23733,1,65,1,1,0.72
23734,1,20,3,3,4.08
23735,2,30,3,5,2.17
23736,2,11,4,NA,0.38
23737,1,0,3,NA,1.13
23738,2,14,1,NA,1.02
23739,2,26,2,3,2.9
23740,2,67,1,1,NA
23741,2,26,4,2,0.29
23742,1,31,5,5,5
23743,1,5,4,NA,1
23744,1,85,4,1,0.17
23745,2,12,1,NA,0.64
23746,1,52,3,3,0.64
23747,1,30,1,3,1.64
23748,2,37,1,2,0.23
23749,2,32,3,5,5
23750,2,2,3,NA,3.17
23751,1,16,3,NA,1.17
23752,2,3,4,NA,0
23753,1,0,5,NA,5
23754,2,58,3,3,0.85
23755,1,10,4,NA,0.8
23756,2,42,5,1,3.38
23757,2,31,3,4,2.56
23758,2,36,1,3,2.39
23759,2,8,2,NA,1.06
23760,1,50,3,5,1.11
23761,1,40,4,2,1.09
23762,1,84,3,5,4.8
23763,1,70,2,5,5
23764,2,62,3,5,5
23765,2,15,1,NA,3.34
23766,1,9,3,NA,0.89
23767,1,3,4,NA,0.38
23768,1,33,4,3,1.84
23769,1,20,1,4,0.79
23770,1,23,1,3,1.97
23771,2,4,1,NA,0.08
23772,2,57,3,5,4.62
23773,1,41,1,1,2.09
23774,2,13,4,NA,1.16
23775,2,23,3,4,1.49
23776,2,22,3,4,4.59
23777,2,2,3,NA,0.82
23778,1,0,3,NA,0.2
23779,2,48,4,3,2.47
23780,2,18,4,NA,1.56
23781,2,0,1,NA,1.3
23782,1,31,3,4,5
23783,2,85,3,4,NA
23784,2,14,3,NA,3.08
23785,2,32,3,5,1.15
23786,1,0,4,NA,2
23787,2,14,4,NA,1.15
23788,1,16,1,NA,5
23789,1,53,4,2,0.7
23790,2,21,5,4,1.34
23791,2,72,3,3,2.06
23792,2,76,1,1,1.34
23793,1,75,3,5,3.71
23794,1,18,3,NA,0.97
23795,1,69,3,4,4
23796,2,68,4,2,2.89
23797,1,0,3,NA,2.79
23798,2,83,3,4,3.6
23799,2,11,1,NA,0.67
23800,1,18,1,NA,0.66
23801,2,41,1,3,2.18
23802,1,50,4,4,5
23803,1,11,4,NA,0.26
23804,1,18,4,NA,1.57
23805,2,13,1,NA,0
23806,2,2,4,NA,0.46
23807,2,34,1,1,0.5
23808,1,17,2,NA,4
23809,2,55,4,5,5
23810,2,17,3,NA,4.59
23811,1,38,4,4,3.71
23812,2,1,4,NA,0.23
23813,2,19,3,NA,0.54
23814,1,43,3,3,4.91
23815,1,65,1,1,0.95
23816,2,62,4,4,0.38
23817,1,18,4,NA,0.82
23818,1,18,1,NA,5
23819,2,36,3,3,1.54
23820,2,74,1,1,0.38
23821,2,13,4,NA,1.9
23822,2,16,3,NA,3.71
23823,2,39,4,2,0.74
23824,2,8,1,NA,0.79
23825,2,12,5,NA,0.97
23826,1,1,4,NA,0.19
23827,1,0,5,NA,0.21
23828,2,70,3,4,1.23
23829,2,37,4,2,1.36
23830,1,26,2,5,4.3
23831,2,81,3,4,NA
23832,2,28,1,4,2.06
23833,2,49,3,5,5
23834,2,49,1,3,1.5
23835,2,11,4,NA,0.65
23836,1,28,3,5,2.23
23837,1,9,5,NA,4.24
23838,1,15,4,NA,2.68
23839,1,85,3,5,5
23840,1,9,4,NA,NA
23841,2,2,1,NA,0.79
23842,1,19,3,NA,NA
23843,2,1,3,NA,2.23
23844,2,11,3,NA,5
23845,2,18,1,NA,0.74
23846,1,73,3,4,2.17
23847,2,14,4,NA,0.66
23848,1,48,3,4,1.77
23849,1,41,3,4,2.12
23850,2,43,1,3,1.47
23851,1,2,4,NA,2.06
23852,2,56,3,5,3.34
23853,2,4,1,NA,NA
23854,2,1,1,NA,1.27
23855,2,9,4,NA,0.9
23856,1,7,3,NA,5
23857,1,19,5,NA,0.13
23858,2,0,3,NA,0
23859,1,47,4,3,1.64
23860,2,10,3,NA,0.51
23861,2,17,4,NA,0.39
23862,1,13,4,NA,1.36
23863,1,16,1,NA,0.21
23864,1,0,4,NA,0.61
23865,1,12,1,NA,1.7
23866,1,19,1,NA,1.9
23867,2,15,1,NA,0.7
23868,1,1,3,NA,1.9
23869,1,44,3,5,3.45
23870,1,32,1,1,0.65
23871,1,15,4,NA,NA
23872,2,4,1,NA,1.02
23873,2,2,1,NA,1.64
23874,2,18,3,NA,0
23875,2,2,1,NA,1.44
23876,2,8,1,NA,1.03
23877,2,7,3,NA,3.93
23878,1,60,4,5,3.53
23879,2,66,3,4,2.81
23880,2,28,5,4,1.99
23881,2,10,4,NA,5
23882,1,52,3,2,1.29
23883,2,60,4,2,1.28
23884,1,63,3,3,5
23885,2,0,3,NA,1.64
23886,1,51,3,4,5
23887,2,14,1,NA,1.74
23888,1,49,5,4,5
23889,2,52,3,2,3.12
23890,1,21,3,4,1.07
23891,1,0,3,NA,1.44
23892,1,0,1,NA,2.32
23893,1,19,3,NA,4.21
23894,1,26,3,3,1.9
23895,2,1,5,NA,1.45
23896,1,40,2,4,5
23897,1,35,2,4,5
23898,1,18,2,NA,0.22
23899,2,24,3,5,2.4
23900,1,52,3,3,3.3
23901,2,30,4,2,0.19
23902,1,7,4,NA,1.38
23903,2,2,1,NA,0.59
23904,2,51,4,4,5
23905,1,0,1,NA,2.56
23906,1,19,4,NA,3.06
23907,1,7,1,NA,0.21
23908,2,53,3,4,4.16
23909,1,42,5,1,0.64
23910,1,37,3,3,0.86
23911,1,0,1,NA,0.1
23912,2,25,3,5,3.19
23913,1,40,3,3,1.25
23914,2,81,3,2,1.03
23915,1,51,3,3,5
23916,2,48,1,2,1.85
23917,1,70,2,5,2.78
23918,1,4,3,NA,4.35
23919,2,26,3,5,5
23920,1,6,4,NA,1.83
23921,1,83,3,3,2.8
23922,1,8,4,NA,1.69
23923,2,19,1,NA,NA
23924,1,71,1,1,1.98
23925,1,8,4,NA,1.63
23926,2,31,4,5,1.53
23927,1,5,1,NA,0.7
23928,1,30,3,5,5
23929,1,58,3,4,5
23930,1,16,4,NA,0.53
23931,1,0,3,NA,NA
23932,1,69,2,1,3.4
23933,2,16,5,NA,NA
23934,1,7,3,NA,5
23935,1,31,4,3,1.65
23936,1,44,4,5,3.26
23937,1,19,4,NA,1.04
23938,1,13,1,NA,3.6
23939,2,13,3,NA,4.99
23940,2,8,4,NA,2.08
23941,2,41,5,4,5
23942,1,85,3,3,3.36
23943,2,11,1,NA,0.6
23944,2,22,4,3,0.63
23945,1,11,1,NA,0.77
23946,1,18,1,NA,NA
23947,2,81,5,1,NA
23948,2,20,1,4,NA
23949,1,17,1,NA,1.9
23950,2,33,3,4,0.72
23951,1,53,1,1,2.89
23952,2,1,2,NA,NA
23953,1,24,3,5,4.56
23954,2,8,5,NA,5
23955,1,0,3,NA,3.8
23956,2,3,3,NA,0.89
23957,1,18,1,NA,2.81
23958,2,61,4,3,0.78
23959,2,44,4,3,2.03
23960,1,1,1,NA,3.71
23961,2,39,3,2,3.6
23962,2,80,1,1,0.67
23963,1,4,3,NA,1.22
23964,2,45,3,4,0.39
23965,2,0,1,NA,0.19
23966,2,83,3,3,2.15
23967,2,65,1,4,4.01
23968,1,39,3,4,2.65
23969,1,75,3,5,3.71
23970,2,19,4,NA,1.57
23971,1,12,4,NA,0
23972,1,23,4,3,2.23
23973,1,72,3,1,3.28
23974,1,1,4,NA,0.98
23975,1,0,4,NA,1.32
23976,2,6,1,NA,2.92
23977,1,43,3,3,3.26
23978,2,64,1,2,0.83
23979,2,57,3,3,3.84
23980,2,81,3,4,1.76
23981,1,16,1,NA,0.84
23982,2,19,1,NA,0.39
23983,1,13,4,NA,2.59
23984,1,3,4,NA,5
23985,2,66,3,4,0.91
23986,2,49,1,2,3.3
23987,2,6,1,NA,0.46
23988,1,13,1,NA,1.41
23989,1,14,4,NA,0.38
23990,2,3,4,NA,5
23991,2,74,3,3,1.4
23992,1,48,4,3,NA
23993,2,27,3,2,1.9
23994,2,19,4,NA,3.6
23995,1,10,1,NA,0.88
23996,2,12,4,NA,NA
23997,1,17,3,NA,4.18
23998,2,85,3,3,2.48
23999,2,9,4,NA,1.51
24000,2,10,1,NA,0.33
24001,1,0,4,NA,0.47
24002,1,70,3,3,2.49
24003,2,68,1,1,1.12
24004,2,2,1,NA,0.65
24005,1,59,3,4,1
24006,1,9,1,NA,0.93
24007,2,19,4,NA,0.17
24008,1,30,1,1,1.83
24009,1,18,3,NA,4.08
24010,1,44,3,3,0.75
24011,1,13,1,NA,0.8
24012,2,17,3,NA,3.19
24013,2,5,3,NA,2.55
24014,1,8,3,NA,3.45
24015,2,16,4,NA,0.69
24016,1,19,3,NA,4.21
24017,2,53,3,5,NA
24018,1,66,3,4,5
24019,2,27,4,2,0.82
24020,1,42,3,4,2.12
24021,2,19,1,NA,0.64
24022,2,14,3,NA,2.65
24023,2,2,3,NA,0.9
24024,2,82,3,1,1.29
24025,1,26,4,3,3.22
24026,2,19,3,NA,0.78
24027,2,68,4,1,3.51
24028,1,5,5,NA,5
24029,1,32,3,2,1.24
24030,2,29,3,5,4
24031,2,2,1,NA,1.33
24032,1,17,3,NA,1.6
24033,2,5,4,NA,0.16
24034,1,10,4,NA,2.37
24035,1,46,3,4,4.35
24036,2,10,4,NA,0.42
24037,1,18,4,NA,NA
24038,2,10,3,NA,0.39
24039,2,13,4,NA,1.09
24040,2,31,4,4,2.39
24041,2,83,3,3,NA
24042,1,51,5,5,5
24043,1,79,3,2,5
24044,1,48,3,3,NA
24045,1,72,3,4,2.29
24046,1,68,3,4,2.72
24047,1,54,3,5,5
24048,2,8,4,NA,2.27
24049,2,23,4,5,3.23
24050,2,35,3,4,2.79
24051,2,31,1,4,2.32
24052,2,17,4,NA,5
24053,1,48,1,2,1.65
24054,1,39,1,3,2.68
24055,1,17,4,NA,0.33
24056,1,18,3,NA,3.28
24057,1,16,4,NA,3.71
24058,2,85,3,1,1.78
24059,1,78,4,3,2.31
24060,2,12,3,NA,0.8
24061,2,5,3,NA,5
24062,1,80,3,1,2.58
24063,2,35,3,5,5
24064,2,85,3,4,1.61
24065,2,0,4,NA,0.4
24066,2,27,3,5,5
24067,1,54,3,2,0.51
24068,2,60,1,2,1.08
24069,2,2,4,NA,0
24070,1,19,1,NA,NA
24071,2,34,1,1,0
24072,2,26,5,5,NA
24073,1,3,4,NA,1.6
24074,1,31,3,5,5
24075,1,70,4,1,0.67
24076,1,4,1,NA,5
24077,1,22,4,2,0
24078,2,10,1,NA,NA
24079,2,25,4,3,0.4
24080,1,16,3,NA,4.98
24081,2,85,3,1,2.48
24082,1,12,1,NA,1.63
24083,2,19,4,NA,1.16
24084,2,43,3,3,5
24085,1,82,3,5,4
24086,2,40,3,4,3.98
24087,1,3,3,NA,2.61
24088,2,71,5,2,1.12
24089,2,24,3,5,2.47
24090,1,57,3,4,0
24091,2,27,3,5,5
24092,1,10,4,NA,1.39
24093,1,13,4,NA,NA
24094,1,25,3,4,5
24095,2,30,1,1,0.02
24096,2,13,4,NA,3.29
24097,2,17,4,NA,0.64
24098,1,28,5,3,NA
24099,2,10,1,NA,0.08
24100,2,16,4,NA,1.44
24101,2,12,1,NA,3.7
24102,1,14,5,NA,1.71
24103,2,0,4,NA,1.25
24104,2,17,3,NA,3.45
24105,2,5,3,NA,4.62
24106,2,50,4,2,1.82
24107,1,50,3,4,1.89
24108,2,10,4,NA,3.86
24109,2,30,1,3,0.94
24110,1,13,1,NA,1.45
24111,2,26,4,5,3.56
24112,2,19,3,NA,0.59
24113,2,12,4,NA,1.07
24114,2,41,1,3,3.92
24115,1,0,1,NA,1.34
24116,1,7,3,NA,5
24117,1,49,3,4,2.61
24118,2,32,3,5,5
24119,1,70,3,5,4.8
24120,1,8,2,NA,5
24121,2,17,1,NA,0.36
24122,1,12,1,NA,1.97
24123,1,78,3,5,5
24124,1,23,3,5,1.07
24125,1,85,3,5,5
24126,1,77,1,1,1.02
24127,1,15,3,NA,1.24
24128,1,27,3,4,NA
24129,2,16,3,NA,0
24130,1,9,3,NA,2.55
24131,2,43,3,5,5
24132,2,48,4,4,3.44
24133,2,75,1,1,1.09
24134,2,16,1,NA,NA
24135,2,37,4,2,1.11
24136,2,20,3,3,NA
24137,1,70,4,2,5
24138,2,64,3,4,NA
24139,1,4,4,NA,0.38
24140,2,61,4,4,5
24141,1,21,3,3,3.83
24142,2,8,4,NA,0.92
24143,2,37,4,4,5
24144,1,23,5,3,3.27
24145,1,16,1,NA,1.25
24146,1,13,1,NA,NA
24147,2,51,3,3,4.45
24148,2,13,4,NA,3.51
24149,2,19,3,NA,4.91
24150,2,7,1,NA,1.2
24151,1,2,1,NA,0.28
24152,2,18,1,NA,0.67
24153,1,28,4,4,1.65
24154,1,0,4,NA,3.22
24155,2,19,4,NA,0.18
24156,2,2,4,NA,0.69
24157,2,45,4,5,5
24158,2,80,3,3,3.3
24159,1,84,3,4,3.76
24160,2,62,3,3,1.32
24161,1,22,1,2,2.68
24162,1,40,3,3,3.32
24163,2,10,1,NA,NA
24164,1,15,1,NA,0.43
24165,2,65,3,3,4.8
24166,2,18,3,NA,NA
24167,2,39,3,5,5
24168,2,66,4,1,1.07
24169,2,67,3,3,1.5
24170,1,0,3,NA,2.65
24171,1,25,4,3,1.61
24172,2,16,4,NA,NA
24173,1,0,3,NA,0.44
24174,2,6,1,NA,1.13
24175,1,55,1,5,5
24176,1,42,4,5,5
24177,1,27,1,3,1.44
24178,2,70,3,2,1.2
24179,2,17,4,NA,1.79
24180,1,60,3,3,NA
24181,1,85,4,4,4.04
24182,2,6,4,NA,0.31
24183,1,49,3,4,4.24
24184,1,63,4,5,5
24185,1,21,4,4,0.99
24186,2,2,4,NA,0.98
24187,1,50,5,1,0.24
24188,2,17,3,NA,4.18
24189,2,27,2,3,0.73
24190,2,75,3,3,2.06
24191,1,66,1,1,2.75
24192,1,71,4,5,2.15
24193,2,66,4,3,5
24194,2,59,3,3,0.91
24195,2,46,3,3,4.18
24196,1,57,3,3,1.85
24197,1,37,3,3,2.79
24198,1,21,3,3,NA
24199,2,75,1,1,0.67
24200,1,3,2,NA,1.39
24201,2,14,1,NA,1.74
24202,2,0,3,NA,1.09
24203,1,4,5,NA,0.1
24204,2,39,3,4,5
24205,1,38,4,4,5
24206,2,13,3,NA,5
24207,1,60,3,4,1.34
24208,2,81,3,3,5
24209,2,10,1,NA,5
24210,2,27,1,2,1.98
24211,2,1,4,NA,NA
24212,1,3,5,NA,0.92
24213,1,32,3,4,2.4
24214,1,3,3,NA,NA
24215,2,21,4,3,0.39
24216,1,15,3,NA,3.8
24217,1,0,3,NA,1.53
24218,2,32,3,5,5
24219,1,58,1,1,0.16
24220,2,13,3,NA,1.15
24221,2,72,3,4,1.32
24222,2,43,1,5,5
24223,2,85,2,4,5
