SEQN,FSDHH
31763,1
31764,3
31765,1
31766,NA
31767,1
31768,2
31769,3
31770,4
31771,1
31772,1
31773,1
31774,1
31775,1
31776,1
31777,3
31778,1
31779,3
31780,1
31781,1
31782,1
31783,1
31784,1
31785,1
31786,1
31787,1
31788,1
31789,1
31790,1
31791,2
31792,1
31793,1
31794,4
31795,1
31796,1
31797,3
31798,1
31799,1
31800,1
31801,2
31802,1
31803,1
31804,1
31805,1
31806,1
31807,1
31808,1
31809,1
31810,1
31811,3
31812,3
31813,1
31814,1
31815,1
31816,2
31817,1
31818,2
31819,3
31820,1
31821,1
31822,1
31823,1
31824,1
31825,1
31826,3
31827,1
31828,2
31829,1
31830,1
31831,1
31832,1
31833,3
31834,1
31835,1
31836,2
31837,3
31838,1
31839,NA
31840,4
31841,3
31842,1
31843,1
31844,1
31845,1
31846,1
31847,1
31848,1
31849,1
31850,2
31851,1
31852,2
31853,1
31854,1
31855,3
31856,1
31857,1
31858,3
31859,1
31860,1
31861,1
31862,1
31863,1
31864,1
31865,2
31866,1
31867,1
31868,1
31869,1
31870,3
31871,1
31872,1
31873,4
31874,1
31875,1
31876,1
31877,1
31878,1
31879,1
31880,3
31881,3
31882,1
31883,1
31884,1
31885,1
31886,1
31887,1
31888,1
31889,3
31890,1
31891,3
31892,1
31893,1
31894,2
31895,1
31896,1
31897,1
31898,1
31899,1
31900,1
31901,1
31902,1
31903,1
31904,1
31905,1
31906,1
31907,1
31908,1
31909,1
31910,1
31911,1
31912,1
31913,1
31914,1
31915,1
31916,1
31917,1
31918,1
31919,1
31920,1
31921,3
31922,2
31923,1
31924,1
31925,3
31926,1
31927,1
31928,1
31929,1
31930,4
31931,1
31932,1
31933,1
31934,1
31935,2
31936,2
31937,1
31938,1
31939,1
31940,3
31941,1
31942,1
31943,1
31944,1
31945,1
31946,1
31947,1
31948,3
31949,1
31950,3
31951,1
31952,1
31953,1
31954,1
31955,2
31956,3
31957,1
31958,1
31959,1
31960,2
31961,4
31962,2
31963,3
31964,1
31965,1
31966,2
31967,1
31968,4
31969,3
31970,1
31971,1
31972,1
31973,1
31974,4
31975,3
31976,1
31977,1
31978,1
31979,1
31980,1
31981,4
31982,3
31983,NA
31984,1
31985,1
31986,2
31987,1
31988,1
31989,3
31990,1
31991,1
31992,1
31993,1
31994,1
31995,1
31996,1
31997,1
31998,1
