SEQN,FSDHH
83732,1
83733,1
83734,2
83735,1
83736,3
83737,1
83738,2
83739,1
83740,1
83741,1
83742,1
83743,1
83744,4
83745,3
83746,1
83747,3
83748,3
83749,1
83750,1
83751,3
83752,1
83753,1
83754,1
83755,4
83756,1
83757,3
83758,1
83759,4
83760,1
83761,1
83762,4
83763,1
83764,1
83765,1
83766,1
83767,3
83768,1
83769,1
83770,4
83771,NA
83772,2
83773,1
83774,1
83775,4
83776,1
83777,2
83778,1
83779,2
83780,1
83781,3
83782,2
83783,1
83784,NA
83785,2
83786,1
83787,2
83788,3
83789,1
83790,4
83791,1
83792,1
83793,1
83794,1
83795,1
83796,1
83797,1
83798,1
83799,1
83800,1
83801,1
83802,NA
83803,3
83804,3
83805,3
83806,1
83807,3
83808,3
83809,1
83810,4
83811,1
83812,1
83813,1
83814,3
83815,3
83816,4
83817,1
83818,1
83819,1
83820,1
83821,1
83822,4
83823,1
83824,1
83825,3
83826,2
83827,1
83828,3
83829,1
83830,1
83831,1
83832,3
83833,2
83834,3
83835,1
83836,3
83837,2
83838,2
83839,1
83840,3
83841,1
83842,1
83843,1
83844,3
83845,4
83846,NA
83847,1
83848,1
83849,1
83850,1
83851,4
83852,1
83853,1
83854,1
83855,1
83856,2
83857,1
83858,3
83859,2
83860,1
83861,1
83862,2
83863,1
83864,1
83865,3
83866,1
83867,1
83868,1
83869,4
83870,1
83871,4
83872,3
83873,1
83874,1
83875,1
83876,1
83877,1
83878,2
83879,1
83880,1
83881,1
83882,1
83883,1
83884,1
83885,1
83886,1
83887,3
83888,2
83889,1
83890,3
83891,1
83892,4
83893,3
83894,3
83895,1
83896,2
83897,1
83898,2
83899,1
83900,4
83901,4
83902,1
83903,1
83904,2
83905,1
83906,1
83907,1
83908,3
83909,NA
83910,4
83911,1
83912,1
83913,1
83914,1
83915,2
83916,1
83917,4
83918,2
83919,1
83920,4
83921,3
83922,4
83923,2
83924,3
83925,1
83926,1
83927,1
83928,NA
83929,1
83930,4
83931,1
83932,1
83933,2
83934,1
83935,1
83936,1
83937,1
83938,1
83939,1
83940,2
83941,NA
83942,1
83943,3
83944,3
83945,1
83946,1
83947,2
83948,3
83949,1
83950,4
83951,3
83952,3
83953,1
83954,1
83955,1
83956,1
83957,2
83958,1
83959,3
83960,1
83961,1
83962,1
83963,1
83964,1
83965,4
83966,3
83967,1
83968,1
83969,1
83970,1
83971,2
83972,3
83973,1
83974,2
83975,1
83976,2
83977,1
83978,1
83979,1
83980,1
83981,1
83982,1
83983,1
83984,1
83985,1
83986,1
83987,4
83988,2
83989,2
83990,4
83991,4
83992,1
83993,1
83994,1
